iter	Quantile:alpha=0.95
0	0.1335809147
1	0.1306035821
2	0.127543113
3	0.1245421111
4	0.1213509194
5	0.1186406936
6	0.116176168
7	0.1139888409
8	0.1119173029
9	0.1100551503
10	0.1075776912
11	0.1057679093
12	0.1036164676
13	0.1016806038
14	0.09970701322
15	0.09825470129
16	0.09687743761
17	0.09542525012
18	0.09385121827
19	0.09242515254
20	0.0910437257
21	0.08973877725
22	0.08833075296
23	0.08713858688
24	0.08596594211
25	0.08466634948
26	0.08348837146
27	0.08232590131
28	0.08135931763
29	0.0803252507
30	0.07925231051
31	0.07833684843
32	0.07732985786
33	0.07620473052
34	0.07522190982
35	0.07419564731
36	0.07324945633
37	0.07233558445
38	0.07139978971
39	0.07052108726
40	0.06956900084
41	0.06874138917
42	0.06788301266
43	0.06718073278
44	0.06640330407
45	0.06559710229
46	0.0647792955
47	0.0639715614
48	0.06323553287
49	0.06244497279
50	0.06183012743
51	0.06120380668
52	0.06061797916
53	0.0601957251
54	0.05947016629
55	0.05896172073
56	0.05842667421
57	0.05788398343
58	0.05736692353
59	0.05677846259
60	0.05619101282
61	0.05557063844
62	0.05503749391
63	0.05443297706
64	0.05397701909
65	0.05345278792
66	0.05302889087
67	0.05259221308
68	0.05207265789
69	0.05160504788
70	0.05120005208
71	0.05088601827
72	0.05049959533
73	0.05002936753
74	0.04967552592
75	0.04930103671
76	0.04897944149
77	0.04852356338
78	0.04811781356
79	0.04765882424
80	0.04726364482
81	0.04677785784
82	0.04637856691
83	0.04601105173
84	0.04570181979
85	0.04532134108
86	0.04498202139
87	0.04456368323
88	0.04423289427
89	0.04386196912
90	0.04348864171
91	0.04322283484
92	0.04293532373
93	0.04262517663
94	0.04232544451
95	0.04207758032
96	0.04189895227
97	0.04162557666
98	0.04127087904
99	0.04104182963
100	0.04077272275
101	0.04049530345
102	0.04027158582
103	0.04002048478
104	0.03970110582
105	0.03944199472
106	0.03919989344
107	0.03895858554
108	0.03872440426
109	0.03850837071
110	0.03832254535
111	0.03810504346
112	0.03791021207
113	0.03771729426
114	0.0375424626
115	0.03733011384
116	0.03711895458
117	0.03690782322
118	0.03671430789
119	0.03651606571
120	0.03635498877
121	0.03615445768
122	0.0359763318
123	0.03578180573
124	0.03562836698
125	0.03544344438
126	0.03525841888
127	0.03514263755
128	0.0349824311
129	0.03485062
130	0.03469745468
131	0.03453029953
132	0.03439877198
133	0.03426439008
134	0.0340886174
135	0.03396940681
136	0.03376821179
137	0.03361502957
138	0.03348318467
139	0.03335800334
140	0.0331966687
141	0.03305408523
142	0.03294356012
143	0.0328065402
144	0.03269180204
145	0.03257051147
146	0.03241570588
147	0.03231021552
148	0.03218448984
149	0.03206632393
150	0.03198660908
151	0.03189914428
152	0.03174845798
153	0.0316542557
154	0.03155786658
155	0.03144933415
156	0.03135528225
157	0.03124721256
158	0.03112305942
159	0.03101592244
160	0.0309148533
161	0.03077412749
162	0.0306936038
163	0.03061225526
164	0.03053432116
165	0.03045038051
166	0.03038924818
167	0.03032409398
168	0.03022591608
169	0.03018015143
170	0.03012895142
171	0.03004673668
172	0.02998253148
173	0.02994795315
174	0.02985277703
175	0.02975236014
